,Demographic,DBN,School Name,Cohort Year,Total Cohort,Total Grads #,Total Grads %,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropout #,Dropout %,Grad Year,fiscal_year,system_code,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct,Closest LIU Distance,Num of LIU Near,Distance From HFL,Closest HFV,borough
0,Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2004,55,37,67.3,17,30.9,45.9,0,0.0,0.0,17,30.9,45.9,20,36.4,54.1,15,27.3,3,5.5,2008,2020,01M292,M292,Orchard Collegiate Academy,310100011292,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M056,220 HENRY STREET,NY,988117.0,199174.0,-73.986051,40.713362,103.0,1.0,201.0,1002690041.0,MN28,Lower East Side,MILES DOYLE,Principal,212-406-9411,,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,0.15394173719557236,2981,1.7835651580076297,LEE HEYWARD GROCERY INC,Manhattan
1,Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2005,64,43,67.2,27,42.2,62.8,0,0.0,0.0,27,42.2,62.8,16,25.0,37.2,9,14.1,9,14.1,2009,2020,01M292,M292,Orchard Collegiate Academy,310100011292,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M056,220 HENRY STREET,NY,988117.0,199174.0,-73.986051,40.713362,103.0,1.0,201.0,1002690041.0,MN28,Lower East Side,MILES DOYLE,Principal,212-406-9411,,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,0.15394173719557236,2981,1.7835651580076297,LEE HEYWARD GROCERY INC,Manhattan
2,Total Cohort,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,2006,78,43,55.1,36,46.2,83.7,0,0.0,0.0,36,46.2,83.7,7,9.0,16.3,16,20.5,11,14.1,2010,2020,01M292,M292,Orchard Collegiate Academy,310100011292,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M056,220 HENRY STREET,NY,988117.0,199174.0,-73.986051,40.713362,103.0,1.0,201.0,1002690041.0,MN28,Lower East Side,MILES DOYLE,Principal,212-406-9411,,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,7.0,0.15394173719557236,2981,1.7835651580076297,LEE HEYWARD GROCERY INC,Manhattan
3,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,64,46,71.90000000000002,32,50.0,69.6,7,10.9,15.2,25,39.1,54.3,14,21.9,30.4,10,15.6,6,9.4,2005,2020,01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-06-04T00:00:00.000,Open,M446,200 MONROE STREET,NY,988650.0,198776.0,-73.984128,40.712269,103.0,1.0,202.0,1002590044.0,MN28,Lower East Side,Matthew Willie,I.A. Principal,212-962-4341,212-267-5611,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.1549335477917448,2271,1.659736661905428,LEE HEYWARD GROCERY INC,Manhattan
4,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,52,33,63.5,19,36.5,57.6,8,15.4,24.2,11,21.2,33.3,14,26.9,42.4,16,30.8,1,1.9,2006,2020,01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-06-04T00:00:00.000,Open,M446,200 MONROE STREET,NY,988650.0,198776.0,-73.984128,40.712269,103.0,1.0,202.0,1002590044.0,MN28,Lower East Side,Matthew Willie,I.A. Principal,212-962-4341,212-267-5611,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.1549335477917448,2271,1.659736661905428,LEE HEYWARD GROCERY INC,Manhattan
5,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,87,67,77.0,39,44.8,58.2,11,12.6,16.4,28,32.2,41.8,28,32.2,41.8,9,10.3,11,12.6,2007,2020,01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-06-04T00:00:00.000,Open,M446,200 MONROE STREET,NY,988650.0,198776.0,-73.984128,40.712269,103.0,1.0,202.0,1002590044.0,MN28,Lower East Side,Matthew Willie,I.A. Principal,212-962-4341,212-267-5611,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.1549335477917448,2271,1.659736661905428,LEE HEYWARD GROCERY INC,Manhattan
6,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,112,75,67.0,36,32.1,48.0,6,5.4,8.0,30,26.8,40.0,39,34.8,52.0,33,29.5,4,3.6,2008,2020,01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-06-04T00:00:00.000,Open,M446,200 MONROE STREET,NY,988650.0,198776.0,-73.984128,40.712269,103.0,1.0,202.0,1002590044.0,MN28,Lower East Side,Matthew Willie,I.A. Principal,212-962-4341,212-267-5611,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.1549335477917448,2271,1.659736661905428,LEE HEYWARD GROCERY INC,Manhattan
7,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,121,64,52.9,35,28.9,54.7,4,3.3,6.3,31,25.6,48.4,29,24.0,45.3,41,33.9,11,9.1,2009,2020,01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-06-04T00:00:00.000,Open,M446,200 MONROE STREET,NY,988650.0,198776.0,-73.984128,40.712269,103.0,1.0,202.0,1002590044.0,MN28,Lower East Side,Matthew Willie,I.A. Principal,212-962-4341,212-267-5611,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.1549335477917448,2271,1.659736661905428,LEE HEYWARD GROCERY INC,Manhattan
8,Total Cohort,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,124,53,42.7,42,33.9,79.2,8,6.5,15.1,34,27.4,64.2,11,8.9,20.8,46,37.1,20,16.1,2010,2020,01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",1999-06-04T00:00:00.000,Open,M446,200 MONROE STREET,NY,988650.0,198776.0,-73.984128,40.712269,103.0,1.0,202.0,1002590044.0,MN28,Lower East Side,Matthew Willie,I.A. Principal,212-962-4341,212-267-5611,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,0.1549335477917448,2271,1.659736661905428,LEE HEYWARD GROCERY INC,Manhattan
9,Total Cohort,01M450,EAST SIDE COMMUNITY SCHOOL,2001,61,41,67.2,40,65.6,97.6,0,0.0,0.0,40,65.6,97.6,1,1.6,2.4,7,11.5,12,19.7,2005,2020,01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",1996-06-05T00:00:00.000,Open,M060,420 EAST 12 STREET,NY,989108.0,204927.0,-73.982472,40.729152,103.0,2.0,3400.0,1004390017.0,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,9.0,0.031580112436650404,2082,2.269295532329185,LORIMER DELI FOOD CORP,Manhattan
