DBN,Num of SAT Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M292,29,355,404,363
01M448,91,383,423,366
01M450,70,377,402,370
01M458,7,414,401,359
01M509,44,390,433,384
01M515,112,332,557,316
01M539,159,522,574,525
01M650,18,417,418,411
01M696,130,624,604,628
02M047,16,395,400,387
02M288,62,409,393,392
02M294,53,394,384,378
02M296,58,374,375,362
02M298,85,423,438,432
02M300,48,404,449,416
02M303,76,353,358,340
02M305,50,375,388,385
02M308,40,403,392,405
02M313,69,408,390,390
02M316,42,373,370,384
02M374,60,391,391,394
02M376,92,473,483,479
02M392,s,s,s,s
02M393,s,s,s,s
02M394,79,319,512,357
02M399,s,s,s,s
02M400,263,465,493,461
02M407,54,492,465,467
02M408,94,509,490,523
02M411,104,496,563,518
02M412,114,537,590,550
02M413,66,517,533,515
02M414,103,468,492,459
02M416,127,572,594,592
02M418,144,528,553,533
02M419,62,390,399,381
02M420,336,429,449,428
02M425,84,416,426,391
02M427,s,s,s,s
02M429,29,356,357,349
02M437,s,s,s,s
02M438,s,s,s,s
02M439,95,441,473,458
02M440,59,378,365,368
02M449,72,395,416,388
02M459,49,376,460,391
02M460,151,373,387,360
02M473,s,s,s,s
02M475,832,679,735,682
02M489,167,443,489,442
02M500,25,370,349,351
02M519,81,469,472,475
02M520,264,407,440,393
02M529,131,414,425,400
02M531,42,429,404,420
02M542,66,336,378,344
02M543,73,391,395,382
02M544,14,389,371,335
02M545,78,412,581,431
02M550,26,368,436,352
02M551,77,405,423,384
02M560,56,498,440,477
02M565,30,527,508,512
02M570,33,350,337,345
02M575,121,345,517,343
02M580,84,408,384,403
02M586,9,458,416,429
02M600,335,423,423,411
02M605,36,426,403,426
02M615,83,399,418,390
02M620,154,370,379,359
02M625,191,395,382,376
02M630,270,444,441,430
02M655,61,409,424,403
03M283,27,406,379,408
03M299,49,374,384,374
03M307,41,384,390,370
03M402,s,s,s,s
03M403,s,s,s,s
03M404,12,416,403,381
03M415,32,371,368,370
03M417,s,s,s,s
03M470,131,370,390,358
03M479,261,577,575,592
03M485,531,566,564,577
03M492,66,396,398,402
03M494,75,433,433,411
03M505,35,401,369,351
03M541,111,473,506,467
03M577,s,s,s,s
03M860,43,356,379,361
04M409,48,354,357,373
04M435,375,461,514,455
04M495,51,373,379,376
04M555,73,405,421,395
04M610,70,432,446,448
04M635,48,369,369,357
04M680,31,358,351,345
05M285,29,357,318,333
05M304,54,413,399,398
05M362,s,s,s,s
05M367,33,354,366,342
05M369,56,360,353,364
05M469,20,354,360,385
05M499,214,458,474,442
05M670,66,396,402,404
05M685,61,369,361,355
05M692,101,605,654,588
06M293,60,408,446,416
06M346,55,362,376,367
06M348,70,380,395,399
06M423,s,s,s,s
06M457,7,394,357,346
06M462,76,365,384,378
06M463,63,369,380,349
06M467,94,363,378,361
06M468,24,400,422,402
06M540,228,430,456,423
06M552,56,339,349,326
07X221,65,364,378,348
07X321,9,379,364,382
07X334,34,310,324,311
07X379,s,s,s,s
07X381,s,s,s,s
07X427,43,361,359,357
07X473,63,351,375,371
07X495,79,403,394,404
07X500,66,420,426,411
07X520,64,399,396,391
07X527,62,362,378,363
07X547,28,367,356,361
07X548,44,387,411,383
07X551,51,413,381,407
07X600,76,394,400,364
07X655,47,398,416,370
07X670,114,363,368,364
08X269,s,s,s,s
08X282,44,407,386,378
08X293,52,384,385,389
08X295,41,416,390,394
08X305,67,337,361,340
08X312,67,387,402,375
08X332,39,363,371,350
08X367,s,s,s,s
08X376,s,s,s,s
08X377,9,367,369,376
08X405,415,412,436,393
08X408,6,402,373,413
08X432,s,s,s,s
08X452,39,369,371,365
08X507,s,s,s,s
08X519,68,373,370,356
08X530,54,373,381,377
08X537,s,s,s,s
08X540,16,366,400,368
08X560,9,404,368,399
08X650,78,377,359,376
09X227,39,324,376,349
09X231,78,373,387,374
09X239,33,372,355,357
09X241,80,411,464,415
09X250,50,393,394,382
09X252,67,369,367,356
09X260,81,459,480,457
09X263,74,356,363,356
09X276,30,361,353,367
09X297,38,386,386,376
09X324,s,s,s,s
09X329,51,382,365,391
09X365,54,315,339,297
09X403,49,314,312,339
09X404,32,363,360,351
09X412,34,356,376,351
09X413,64,400,419,402
09X414,35,379,364,379
09X505,80,404,418,402
09X517,50,368,384,369
09X525,114,384,394,388
09X543,27,353,315,371
10X141,113,438,455,440
10X213,86,373,412,365
10X225,59,405,391,394
10X237,79,382,393,382
10X243,26,382,406,370
10X268,52,304,356,302
10X284,54,402,395,385
10X319,s,s,s,s
10X342,49,300,333,301
10X368,111,390,408,383
10X374,61,392,401,387
10X397,38,343,356,330
10X433,57,370,371,365
10X434,51,404,418,400
10X437,48,355,350,372
10X438,63,367,385,367
10X439,65,366,364,352
10X440,443,419,426,410
10X442,52,423,420,427
10X445,731,632,688,649
10X475,109,351,362,339
10X477,99,414,435,414
10X478,s,s,s,s
10X546,68,348,362,354
10X549,55,372,379,364
10X660,73,362,382,356
10X667,10,350,356,317
10X696,92,636,648,636
11X249,74,370,381,382
11X253,46,400,357,390
11X265,81,377,391,367
11X270,56,386,394,361
11X275,72,381,376,354
11X288,97,444,471,433
11X290,69,387,365,383
11X299,60,387,391,391
11X415,121,367,361,353
11X417,s,s,s,s
11X418,48,419,433,416
11X455,189,386,397,368
11X456,s,s,s,s
11X513,72,332,381,335
11X514,48,377,372,363
11X541,57,372,382,375
11X542,76,431,438,419
11X544,55,383,378,365
11X545,46,388,393,382
12X245,25,348,344,354
12X248,49,347,367,341
12X251,57,381,381,360
12X262,30,361,353,360
12X267,36,408,432,411
12X271,46,366,378,358
12X278,34,390,401,364
12X388,30,321,351,298
12X428,s,s,s,s
12X446,14,380,372,349
12X478,s,s,s,s
12X479,s,s,s,s
12X480,16,398,385,398
12X550,42,304,323,312
12X682,72,342,346,341
12X684,66,378,374,362
12X690,31,375,387,376
12X692,43,332,357,349
13K265,29,352,349,373
13K336,9,439,374,418
13K350,52,360,364,356
13K412,37,375,355,384
13K419,92,399,417,395
13K430,1277,587,659,587
13K439,90,305,364,312
13K483,105,400,417,389
13K499,72,384,364,368
13K509,29,400,390,403
13K527,s,s,s,s
13K553,8,435,383,379
13K575,13,398,391,394
13K595,89,438,443,431
13K605,85,406,391,392
13K616,s,s,s,s
13K670,185,471,472,448
13K674,20,441,499,413
14K071,102,365,361,359
14K322,s,s,s,s
14K404,68,387,357,381
14K449,72,586,584,570
14K454,41,407,386,396
14K474,144,364,379,371
14K477,134,413,396,395
14K478,142,398,421,396
14K488,42,367,373,350
14K558,72,363,385,364
14K561,113,397,410,380
14K586,31,371,377,355
14K610,94,367,376,350
14K632,12,382,372,368
14K685,28,359,335,341
14K923,s,s,s,s
15K429,52,361,367,383
15K448,76,393,399,387
15K462,59,398,411,394
15K463,58,397,391,381
15K464,72,379,416,380
15K497,64,405,415,392
15K519,77,398,402,385
15K520,9,352,341,300
15K529,s,s,s,s
15K530,28,368,365,368
15K656,141,426,421,411
15K667,s,s,s,s
15K698,8,430,416,425
16K393,20,355,355,358
