DBN,Num of SAT Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M292,31,391,425,385
01M448,60,394,419,387
01M450,69,418,431,402
01M458,26,385,370,378
01M509,,,,
01M515,154,314,532,314
01M539,47,568,583,568
01M650,35,411,401,401
01M696,138,630,608,630
02M047,11,405,415,385
02M288,50,422,412,407
02M294,51,382,364,366
02M296,43,397,415,391
02M298,71,424,448,423
02M300,49,405,446,415
02M303,59,381,373,377
02M305,48,411,406,411
02M308,35,409,381,412
02M313,45,421,419,394
02M316,52,401,409,391
02M374,49,395,376,386
02M376,,,,
02M400,216,465,480,448
02M407,42,484,478,472
02M408,69,495,465,499
02M411,96,523,583,528
02M412,108,561,597,567
02M413,79,475,488,466
02M414,90,454,448,435
02M416,122,555,596,567
02M418,140,512,554,523
02M419,47,369,370,359
02M420,250,446,458,440
02M425,74,419,429,406
02M429,31,379,356,354
02M439,90,465,479,472
02M440,136,387,394,379
02M445,,,,
02M449,54,367,395,373
02M459,31,418,463,415
02M460,163,381,385,368
02M473,,,,
02M475,804,674,735,678
02M489,147,451,503,453
02M500,31,371,369,368
02M519,124,465,454,461
02M520,287,411,439,396
02M529,88,420,424,398
02M531,32,415,405,397
02M535,,,,
02M542,31,345,380,325
02M543,74,390,385,387
02M544,16,404,419,395
02M545,47,416,612,419
02M550,32,343,465,362
02M551,54,372,369,368
02M560,57,468,441,434
02M565,34,513,460,502
02M570,16,400,336,376
02M575,141,355,475,339
02M580,79,425,429,419
02M586,11,429,382,416
02M600,301,419,420,413
02M605,37,433,405,417
02M615,61,393,412,376
02M620,152,378,387,370
02M625,125,370,378,360
02M630,212,427,423,418
02M655,71,399,389,383
02M690,14,382,404,359
03M283,23,406,378,391
03M299,57,364,378,357
03M307,53,374,363,377
03M404,,,,
03M415,68,376,373,371
03M470,170,357,357,345
03M479,237,573,563,575
03M485,594,558,555,567
03M494,60,407,425,397
03M505,18,410,407,388
03M541,80,481,525,469
03M860,33,414,410,406
04M409,39,390,372,383
04M435,312,485,531,475
04M495,46,360,374,362
04M555,35,362,378,356
04M610,48,451,445,470
04M610,,,,
04M635,39,380,385,354
04M680,47,369,385,361
04M695,23,366,382,362
05M285,19,402,394,367
